DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Oct-2025,EQ,"1,349.10","1,364.30","1,342.40","1,353.50","1,351.60","1,353.50","1,353.48","1,902.00","1,135.00",1189113,"1,60,94,46,281.60",31425
30-Sep-2025,EQ,"1,375.90","1,389.80","1,341.10","1,374.50","1,347.40","1,353.50","1,365.19","1,902.00","1,135.00",1300920,"1,77,59,98,817.70",53657
29-Sep-2025,EQ,"1,335.00","1,383.00","1,333.60","1,340.20","1,381.90","1,374.50","1,363.89","1,902.00","1,135.00",1315242,"1,79,38,39,229.50",40376
26-Sep-2025,EQ,"1,369.00","1,371.60","1,332.70","1,372.40","1,334.50","1,340.20","1,348.01","1,932.00","1,135.00",1100967,"1,48,41,14,945.60",33696
25-Sep-2025,EQ,"1,370.00","1,382.90","1,360.60","1,372.30","1,370.00","1,372.40","1,372.92","1,932.00","1,135.00",643040,"88,28,43,612.50",27275
24-Sep-2025,EQ,"1,371.90","1,377.00","1,355.00","1,372.70","1,365.30","1,372.30","1,369.39","1,932.00","1,135.00",1056484,"1,44,67,42,503.60",36407
23-Sep-2025,EQ,"1,376.20","1,386.40","1,356.00","1,376.20","1,373.00","1,372.70","1,370.46","1,932.00","1,135.00",799766,"1,09,60,50,764.10",21286
22-Sep-2025,EQ,"1,415.00","1,415.00","1,370.00","1,419.90","1,376.00","1,376.20","1,384.17","1,932.00","1,135.00",1492222,"2,06,54,87,120.60",47454
19-Sep-2025,EQ,"1,426.20","1,437.90","1,416.00","1,426.20","1,420.10","1,419.90","1,421.32","1,944.90","1,135.00",1366319,"1,94,19,78,256.80",27063
18-Sep-2025,EQ,"1,411.10","1,430.40","1,402.50","1,411.90","1,425.00","1,426.20","1,419.48","1,944.90","1,135.00",1125138,"1,59,71,11,020.50",44585
17-Sep-2025,EQ,"1,417.40","1,421.90","1,400.30","1,414.60","1,404.20","1,411.90","1,408.74","1,944.90","1,135.00",744641,"1,04,90,05,595.20",27708
16-Sep-2025,EQ,"1,417.90","1,434.00","1,413.10","1,415.80","1,417.00","1,414.60","1,424.05","1,944.90","1,135.00",620757,"88,39,88,716.10",31444
15-Sep-2025,EQ,"1,402.50","1,421.90","1,400.00","1,403.60","1,415.10","1,415.80","1,413.81","1,944.90","1,135.00",576808,"81,54,94,980.20",17313
12-Sep-2025,EQ,"1,396.20","1,409.10","1,392.40","1,395.30","1,396.60","1,403.60","1,400.55","1,944.90","1,135.00",824826,"1,15,52,09,945.00",20224
11-Sep-2025,EQ,"1,399.00","1,399.00","1,371.50","1,394.90","1,396.00","1,395.30","1,387.90","1,944.90","1,135.00",1235017,"1,71,40,78,096.20",33476
10-Sep-2025,EQ,"1,417.00","1,425.20","1,384.00","1,412.30","1,390.40","1,394.90","1,396.58","1,944.90","1,135.00",1046892,"1,46,20,64,100.50",34585
09-Sep-2025,EQ,"1,420.00","1,428.00","1,405.30","1,419.20","1,410.10","1,412.30","1,414.64","1,944.90","1,135.00",887526,"1,25,55,27,509.80",38012
08-Sep-2025,EQ,"1,430.00","1,436.80","1,413.10","1,432.80","1,415.10","1,419.20","1,423.47","1,944.90","1,135.00",456972,"65,04,87,709.30",24116
05-Sep-2025,EQ,"1,409.90","1,437.40","1,405.20","1,402.60","1,431.40","1,432.80","1,427.96","1,944.90","1,135.00",1254002,"1,79,06,62,324.50",55179
04-Sep-2025,EQ,"1,470.00","1,470.00","1,398.00","1,430.30","1,399.10","1,402.60","1,418.40","1,944.90","1,135.00",1790205,"2,53,92,25,280.20",60758
03-Sep-2025,EQ,"1,436.00","1,438.60","1,413.00","1,440.60","1,431.80","1,430.30","1,423.70","1,944.90","1,135.00",1030877,"1,46,76,63,236.00",40004
02-Sep-2025,EQ,"1,418.90","1,445.00","1,410.50","1,411.90","1,435.00","1,440.60","1,434.22","1,944.90","1,135.00",1403210,"2,01,25,06,050.10",49375
01-Sep-2025,EQ,"1,370.00","1,426.10","1,367.10","1,374.00","1,415.00","1,411.90","1,406.76","1,944.90","1,135.00",1473916,"2,07,34,50,172.00",54715
29-Aug-2025,EQ,"1,351.00","1,382.50","1,345.90","1,359.30","1,370.00","1,374.00","1,371.15","1,944.90","1,135.00",1097616,"1,50,49,94,653.10",50919
28-Aug-2025,EQ,"1,347.30","1,364.60","1,334.10","1,347.30","1,360.40","1,359.30","1,357.08","1,944.90","1,135.00",957868,"1,29,99,08,064.60",45659
26-Aug-2025,EQ,"1,353.40","1,365.30","1,339.00","1,357.40","1,346.00","1,347.30","1,349.12","1,944.90","1,135.00",1192978,"1,60,94,76,057.40",31282
25-Aug-2025,EQ,"1,360.00","1,371.80","1,348.10","1,353.20","1,358.20","1,357.40","1,361.97","1,944.90","1,135.00",578894,"78,84,35,205.70",23242
22-Aug-2025,EQ,"1,360.00","1,386.20","1,350.00","1,362.70","1,354.10","1,353.20","1,364.20","1,944.90","1,135.00",616349,"84,08,22,160.40",35513
21-Aug-2025,EQ,"1,368.10","1,372.00","1,344.30","1,369.80","1,365.40","1,362.70","1,359.81","1,944.90","1,135.00",1270171,"1,72,71,94,157.70",45922
20-Aug-2025,EQ,"1,388.80","1,388.80","1,363.70","1,378.90","1,367.00","1,369.80","1,370.89","1,944.90","1,135.00",563772,"77,28,71,409.70",26841
19-Aug-2025,EQ,"1,345.00","1,382.80","1,345.00","1,349.20","1,377.30","1,378.90","1,368.09","1,944.90","1,135.00",958153,"1,31,08,39,428.90",34260
18-Aug-2025,EQ,"1,337.90","1,402.20","1,326.00","1,274.80","1,348.80","1,349.20","1,367.13","1,944.90","1,135.00",5466642,"7,47,35,94,134.20",170357
14-Aug-2025,EQ,"1,270.00","1,279.60","1,258.00","1,276.10","1,270.00","1,274.80","1,273.13","1,944.90","1,135.00",569544,"72,51,04,047.00",20149
13-Aug-2025,EQ,"1,249.90","1,284.00","1,243.70","1,245.00","1,275.70","1,276.10","1,272.75","1,944.90","1,135.00",1199406,"1,52,65,42,707.90",37884
12-Aug-2025,EQ,"1,229.90","1,259.90","1,229.00","1,245.20","1,244.00","1,245.00","1,246.12","1,944.90","1,135.00",839568,"1,04,62,04,182.40",36201
11-Aug-2025,EQ,"1,201.00","1,250.00","1,192.00","1,304.90","1,240.00","1,245.20","1,232.68","1,944.90","1,135.00",4002006,"4,93,31,91,529.70",135284
08-Aug-2025,EQ,"1,312.00","1,323.50","1,294.00","1,309.20","1,301.00","1,304.90","1,307.00","1,944.90","1,135.00",590345,"77,15,82,055.70",28627
07-Aug-2025,EQ,"1,301.00","1,327.40","1,289.00","1,314.20","1,309.00","1,309.20","1,310.84","1,944.90","1,135.00",595668,"78,08,25,380.80",30964
06-Aug-2025,EQ,"1,319.00","1,324.20","1,302.50","1,317.00","1,317.00","1,314.20","1,310.00","1,944.90","1,135.00",441055,"57,77,81,950.70",19300
05-Aug-2025,EQ,"1,340.00","1,340.00","1,312.10","1,341.80","1,314.00","1,317.00","1,324.41","1,944.90","1,135.00",316284,"41,88,89,556.70",23823
04-Aug-2025,EQ,"1,308.00","1,346.00","1,308.00","1,317.40","1,342.90","1,341.80","1,332.09","1,944.90","1,135.00",366914,"48,87,63,149.70",17909
01-Aug-2025,EQ,"1,326.80","1,326.80","1,306.00","1,327.70","1,314.90","1,317.40","1,316.64","1,944.90","1,135.00",449595,"59,19,56,787.90",20968
31-Jul-2025,EQ,"1,320.00","1,348.80","1,315.00","1,336.00","1,320.20","1,327.70","1,335.82","1,944.90","1,135.00",712912,"95,23,21,828.00",35328
30-Jul-2025,EQ,"1,320.00","1,338.60","1,315.30","1,335.10","1,333.90","1,336.00","1,327.67","1,944.90","1,135.00",533140,"70,78,31,698.00",19247
29-Jul-2025,EQ,"1,308.60","1,340.00","1,308.60","1,320.50","1,333.30","1,335.10","1,327.40","1,944.90","1,135.00",624288,"82,86,80,345.50",26021
28-Jul-2025,EQ,"1,303.30","1,334.80","1,301.20","1,315.60","1,320.00","1,320.50","1,315.63","1,944.90","1,135.00",884988,"1,16,43,16,442.80",32976
25-Jul-2025,EQ,"1,337.50","1,341.40","1,307.30","1,344.00","1,313.60","1,315.60","1,324.31","1,944.90","1,135.00",925449,"1,22,55,84,093.80",44921
24-Jul-2025,EQ,"1,360.00","1,365.70","1,341.80","1,367.60","1,343.50","1,344.00","1,353.42","1,944.90","1,135.00",890104,"1,20,46,85,978.70",23782
23-Jul-2025,EQ,"1,356.30","1,369.00","1,348.00","1,357.40","1,365.00","1,367.60","1,358.61","1,944.90","1,135.00",392460,"53,31,98,187.40",18412
22-Jul-2025,EQ,"1,372.20","1,378.30","1,342.80","1,385.70","1,357.80","1,357.40","1,356.94","1,944.90","1,135.00",1649309,"2,23,80,05,896.70",81206
21-Jul-2025,EQ,"1,370.50","1,392.00","1,369.80","1,377.00","1,385.00","1,385.70","1,383.48","1,944.90","1,135.00",483190,"66,84,83,095.50",21903
18-Jul-2025,EQ,"1,385.10","1,395.00","1,369.00","1,390.70","1,370.50","1,377.00","1,382.42","1,944.90","1,135.00",1041006,"1,43,91,07,950.60",46235
17-Jul-2025,EQ,"1,400.00","1,400.00","1,387.00","1,397.30","1,390.70","1,390.70","1,391.34","1,944.90","1,135.00",934758,"1,30,05,67,011.30",27924
16-Jul-2025,EQ,"1,392.10","1,399.90","1,378.90","1,396.60","1,391.60","1,397.30","1,392.64","1,944.90","1,135.00",1646006,"2,29,22,95,435.10",40445
15-Jul-2025,EQ,"1,376.50","1,400.00","1,375.00","1,376.80","1,398.00","1,396.60","1,391.21","1,944.90","1,135.00",1387726,"1,93,06,17,934.00",47333
14-Jul-2025,EQ,"1,370.00","1,379.40","1,361.30","1,369.50","1,376.40","1,376.80","1,371.38","1,944.90","1,135.00",684695,"93,89,78,925.20",31649
11-Jul-2025,EQ,"1,370.00","1,371.90","1,353.30","1,368.90","1,370.00","1,369.50","1,366.38","1,944.90","1,135.00",865797,"1,18,30,06,719.30",30361
10-Jul-2025,EQ,"1,365.00","1,375.00","1,361.80","1,366.90","1,365.50","1,368.90","1,370.05","1,944.90","1,135.00",812127,"1,11,26,57,370.30",23272
09-Jul-2025,EQ,"1,360.90","1,382.40","1,360.90","1,371.20","1,368.00","1,366.90","1,372.85","1,944.90","1,135.00",1046247,"1,43,63,41,625.50",35286
08-Jul-2025,EQ,"1,367.00","1,373.00","1,350.50","1,365.70","1,370.00","1,371.20","1,364.98","1,944.90","1,135.00",616481,"84,14,84,088.60",21756
